Scale,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units,units
Units,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes,tonnes
2010,1286855,1250,,81738,,,,186737,,,,348673,1087,,,,158051,,,,6956,,,,94203,,,,125462,,,,2565,,,,4409,,,,44978,,,,98479,,,,,110376,,,,22980,27,,
2011,530061,1928,,45943,,,,65705,,,,127580,596,,,,84404,,,,6701,,,,34695,,,,45624,,,,1363,,,,2092,,,,30671,,,,26795,,,,,45802,,,,10759,106,,
2012,692572,1313,,58675,,,,97003,,,,129437,1061,,,,114613,,,,14254,,,,47498,,,,70280,,,,1232,,,,7158,,,,24124,,,,39076,,,,,75917,,,,11991,293,,
2013,577456,1470,,49178,,,,93626,,,,142458,,,,,101980,,,,4909,,,,66160,,,,37646,,,,2003,,,,1308,,,,34139,,,,66573,,,,,62668,,,,13338,437,,
2014,669329,589,,33277,,,,100440,,,,181777,,,,,96010,,,,28296,,,,60404,,,,36860,,,,513,,,,3044,,,,40200,,,,49594,,,,,28172,,,,10154,474,,
2015,1050042,935,,65442,,,,127389,,,,198468,,,,,124901,,,,3981,,,,86363,,,,139842,,,,781,,,,5714,,,,72288,,,,91500,,,,,100641,,,,31797,521,,
2016,991427,257,,48580,,,,144065,,,,194279,,,,,121464,,,,5062,,,,76797,,,,108950,,,,927,,,,4672,,,,87289,,,,102386,,,,,65182,,,,31516,,,
2017,1405223.324,1884.493889,1884.493889,53146.62224,24425.557,11634.92349,17086.14175,230104.166,66953.04222,83413.14378,79737.98,215592.0354,44933.07,54190.86572,47463.15448,69004.94524,191147.201,30921.48151,46257.41607,113968.3035,13536.81924,4798.306395,1188.646005,7549.866843,113287.1461,26671.87815,32502.17543,54113.09247,178106.9566,36572.48245,47236.66754,94297.80662,1600.968747,864.1831433,0,736.7856037,15409.70449,13036.50107,,2373.203425,50572.2068,29983.34116,10592.98165,9995.883984,205625.4764,1139.75847,11533.72818,49748.22603,143203.7637,104187.8185,45053.68937,19482.85669,39651.27242,31021.70864,20001.33276,3712.205138,7308.170735
2018,1437219.52,55.76201556,55.76201556,63368.84542,16801.17092,10649.345,35918.3295,228148.5,61254,92398.5,74496,272570,77250,59520,63750,72050,223337.2823,23237.28234,57000,143100,20522.20066,7670.225066,1526.975594,11325,225654.0791,51149.724,107481.3551,67023,104567.9148,28898.36321,42941.20004,32728.35156,1116.188218,168.4,176.3682182,771.42,4095.173011,2216.5,,1878.673011,71160.94874,39289.79364,20223.66901,11647.48608,162023.406,2971.535,22731.87101,54420,81900,87344.91856,39798.084,13928.91456,33617.92,36623.14653,24975,1339.865955,10308.28058
2019,1421288.11,80,80,55487,13846,10191,31450,239750,78000,101250,60500,259460,66000,45000,78000,70460,224550,25500,65000,134050,13041.2,8085,1556.2,3400,226710,51660,108000,67050,67836,28500,33540,5796,904.7,154.7,0,750,1166.65,416.65,,750,84573.35994,47627.98339,22703.23655,14242.14,159422.4,4018.8,21240,54963.6,79200,60814.8,23200,13265.2,24349.6,27492,21600,900,4992
2020,1797486.113,556.5293069,556.5293069,85433.09127,22627.62325,22692.64875,40112.81927,231807.0229,59891.25042,79171.78862,92743.98387,404051.253,89967.09047,99173.90781,108202.3798,106707.875,261944.4812,58226.1583,75058.74057,128659.5823,12436.56135,6075,1918.598657,4442.962695,304771.5765,70719.95771,144805.9856,89245.63313,135797.7084,43458.4311,46953.29134,45385.98593,2726.40088,744.6563729,318.9388947,1662.805613,9100.482868,4976.468433,3293.36887,830.645565,58633.8425,24196.37762,19169.41497,15268.04991,129065.0613,2843.90751,15458.74262,52907.43608,57854.97508,118545.0213,39393.33879,28839.96203,50311.7205,42617.08031,35863.33864,1426.080542,5327.661125
2021,1677803.559,741.7500419,741.7500419,54125.19957,20300.85484,11420.3817,22403.96303,235009.4611,72991.3218,94976.53362,67041.60571,341095.7849,59874.45672,87633.39411,100561.461,93026.47303,201309.9312,33330.15078,54299.55956,113680.2209,23213.96691,12285.46341,2007.966009,8920.537492,308925.2159,87625.375,122704.9159,98594.925,114682.5879,30171.32619,31668.82377,52842.43792,2648.23577,861.2388309,234.3648385,1552.6321,6922.557434,3741.756501,2455.414032,725.3869,100129.5545,36076.52159,31752.05197,32300.98097,159638.6578,886.6349738,13906.54296,70082.72795,74762.75189,84009.07097,21699.96173,22546.99553,39762.11371,45351.58505,35056.3716,4060.900052,6234.313404
2022,1501498.402,662.2,662.2,54760.79216,15062.2224,12691.57507,27006.99469,218929.7123,63980.2323,80517.13923,74432.34074,304184.9548,63889.1461,66263.436,77815.41625,96216.95646,193032.4418,31590.54875,53352.31806,108089.575,20529.33272,13851.6247,1156.061211,5521.646815,247518.6871,91130.39,95985.27595,60403.02119,75454.39579,21358.91888,23224.87393,30870.60298,3340.917457,932.6284438,225.2996259,2182.989387,5045.897714,2699.256547,2195.375,151.2661667,115856.0557,46995.69631,30771.21935,38089.14,146162.9623,1760.201815,15657.39595,52767.3112,75978.05329,75433.19642,21549.15,21233.925,32650.12142,40586.85567,32800.482,1777.878744,6008.494931
